ParticipantID(1to12),condition(1to3),Target(1to7),Trial(1to20),PosTargetX,PosTargetY,PosX,PosY
1,2,2,10,-1.5584e-05,0.19782,-0.021864,0.26139
1,2,2,11,3.4771e-05,0.19782,-0.022118,0.24958
1,2,2,12,3.4771e-05,0.19782,-0.026428,0.25892
1,2,2,13,3.4771e-05,0.19782,-0.025005,0.25478
1,2,2,14,1.1926e-18,0.19782,-0.024348,0.25982
1,2,2,15,1.1926e-18,0.19782,-0.024151,0.25473
1,2,2,16,1.1926e-18,0.19782,-0.024376,0.26354
1,2,2,17,1.1926e-18,0.19782,-0.015567,0.25951
1,2,2,18,-2.4505e-05,0.19782,-0.0064714,0.26352
1,2,2,19,3.4771e-05,0.19782,-0.018841,0.25417
1,2,2,20,3.4771e-05,0.19782,-0.018751,0.26069
1,2,3,1,-2.4937e-17,0.27282,-0.00057,0.34404
1,2,3,2,-2.4937e-17,0.27282,-0.0046451,0.31928
1,2,3,3,2.1493e-05,0.27282,-0.0076305,0.33634
1,2,3,4,-2.4937e-17,0.27282,-0.0086379,0.32692
1,2,3,5,-2.4937e-17,0.27282,-0.02371,0.32765
1,2,3,6,6.9447e-05,0.27282,-0.019143,0.31082
1,2,3,7,6.9447e-05,0.27282,-0.012929,0.33652
1,2,3,8,-1.2302e-05,0.27282,-0.0032031,0.33566
1,2,3,9,-1.2302e-05,0.27282,-0.010924,0.33952
1,2,3,10,2.1493e-05,0.27282,0.0073671,0.33637
1,2,3,11,2.1493e-05,0.27282,0.0021038,0.33697
1,2,3,12,2.1493e-05,0.27282,-0.012251,0.35261
1,2,3,13,6.9447e-05,0.27282,-0.016795,0.3599
1,2,3,14,-2.4937e-17,0.27282,-0.013527,0.35622
1,2,3,15,-2.4937e-17,0.27282,-0.0029937,0.34761
1,2,3,16,-1.2302e-05,0.27282,-0.011151,0.33783
1,2,3,17,2.1493e-05,0.27282,-0.011346,0.35855
1,2,3,18,-2.4937e-17,0.27282,-0.02372,0.33876
1,2,3,19,-1.2302e-05,0.27282,-0.0021908,0.34062
1,2,3,20,-1.2302e-05,0.27282,-0.008536,0.35673
1,2,4,1,-3.8598e-17,0.34782,-0.015164,0.42755
1,2,4,2,0.00010422,0.34782,-0.0099808,0.41836
1,2,4,3,0.00010422,0.34782,-0.0056697,0.42136
1,2,4,4,0.00010422,0.34782,-0.0082715,0.41053
1,2,4,5,1.5684e-05,0.34782,-0.011756,0.41628
1,2,4,6,1.5684e-05,0.34782,-0.0054395,0.42394
1,2,4,7,-3.8598e-17,0.34782,-0.0067174,0.4146
1,2,4,8,-3.8598e-17,0.34782,-0.0038336,0.41359
1,2,4,9,0.00010422,0.34782,-0.00339,0.41297
1,2,4,10,4.3086e-05,0.34782,-0.0085084,0.41461
1,2,4,11,4.3086e-05,0.34782,-0.0090442,0.42294
1,2,4,12,4.3086e-05,0.34782,-0.019953,0.43228
1,2,4,13,4.3086e-05,0.34782,-0.0070188,0.41967
1,2,4,14,1.5684e-05,0.34782,-0.016858,0.41005
1,2,4,15,1.5684e-05,0.34782,-0.00052719,0.41798
1,2,4,16,0.00010422,0.34782,-0.019309,0.41962
1,2,4,17,-3.8598e-17,0.34782,-0.0075351,0.41963
1,2,4,18,-3.8598e-17,0.34782,-0.0012311,0.41587
1,2,4,19,0.00010422,0.34782,-0.017135,0.42794
1,2,4,20,1.5684e-05,0.34782,-0.0019233,0.42253
1,2,5,1,0.092356,0.25651,0.098541,0.31724
1,2,5,2,0.092356,0.25651,0.10845,0.2958
1,2,5,3,0.092356,0.25651,0.096427,0.30376
1,2,5,4,0.092356,0.25651,0.10113,0.307
1,2,5,5,0.092356,0.25651,0.11045,0.31264
1,2,5,6,0.092324,0.25652,0.091165,0.32198
1,2,5,7,0.092336,0.25652,0.088294,0.3177
1,2,5,8,0.092401,0.25649,0.08674,0.31315
1,2,5,9,0.092401,0.25649,0.099522,0.31669
1,2,5,10,0.092356,0.25651,0.10541,0.31395
1,2,5,11,0.092356,0.25651,0.11087,0.31522
1,2,5,12,0.092356,0.25651,0.089275,0.33784
1,2,5,13,0.092356,0.25651,0.093272,0.31627
1,2,5,14,0.092401,0.25649,0.092232,0.31112
1,2,5,15,0.092324,0.25652,0.10406,0.32177
1,2,5,16,0.092324,0.25652,0.10165,0.30909
1,2,5,17,0.092336,0.25652,0.10908,0.32724
1,2,5,18,0.092356,0.25651,0.10672,0.3281
1,2,5,19,0.092356,0.25651,0.09688,0.31843
1,2,5,20,0.092324,0.25652,0.11337,0.33132
1,2,6,1,0.17358,0.20958,0.19111,0.24815
1,2,6,2,0.17358,0.20958,0.18685,0.24035
1,2,6,3,0.17354,0.20961,0.18941,0.24198
1,2,6,4,0.17354,0.20961,0.19743,0.2503
1,2,6,5,0.17353,0.20962,0.18525,0.25246
1,2,6,6,0.17353,0.20962,0.17599,0.25598
1,2,6,7,0.17354,0.20961,0.1883,0.25294
1,2,6,8,0.17352,0.20963,0.18264,0.23842
1,2,6,9,0.17358,0.20958,0.18557,0.25302
1,2,6,10,0.17358,0.20958,0.19646,0.25928
1,2,6,11,0.17353,0.20962,0.18674,0.26015
1,2,6,12,0.17353,0.20962,0.18507,0.26538
1,2,6,13,0.17353,0.20962,0.18712,0.25671
1,2,6,14,0.17358,0.20958,0.18341,0.26772
1,2,6,15,0.17352,0.20963,0.19007,0.26752
1,2,6,16,0.17352,0.20963,0.18546,0.25278
1,2,6,17,0.17354,0.20961,0.19217,0.26125
1,2,6,18,0.17353,0.20962,0.18464,0.27128
1,2,6,19,0.17353,0.20962,0.19441,0.27393
1,2,6,20,0.17352,0.20963,0.19776,0.26664
1,2,7,1,0.23378,0.13778,0.24341,0.17662
1,2,7,2,0.23382,0.13772,0.2606,0.16534
1,2,7,3,0.23382,0.13772,0.25076,0.14892
1,2,7,4,0.23382,0.13772,0.24391,0.17479
1,2,7,5,0.23379,0.13776,0.24911,0.16903
1,2,7,6,0.23379,0.13776,0.24732,0.16563
1,2,7,7,0.23378,0.13778,0.24014,0.16992
1,2,7,8,0.23382,0.13772,0.24098,0.17296
1,2,7,9,0.23382,0.13772,0.24497,0.16428
1,2,7,10,0.23379,0.13776,0.25082,0.17407
1,2,7,11,0.23379,0.13776,0.24503,0.17962
1,2,7,12,0.23378,0.13779,0.2523,0.1763
1,2,7,13,0.23378,0.13779,0.25682,0.1735
1,2,7,14,0.23378,0.13779,0.24995,0.19151
1,2,7,15,0.23378,0.13779,0.25023,0.18111
1,2,7,16,0.23378,0.13779,0.23783,0.1883
1,2,7,17,0.23379,0.13776,0.23264,0.17755
1,2,7,18,0.23382,0.13772,0.23299,0.17061
1,2,7,19,0.23378,0.13778,0.25236,0.19382
1,2,7,20,0.23378,0.13778,0.25043,0.16875
1,3,1,1,-0.00026866,0.12284,0.011249,0.12517
1,3,1,2,-0.00026866,0.12284,0.014163,0.12852
1,3,1,3,-5.7109e-05,0.12284,0.014415,0.11134
1,3,1,4,-4.854e-05,0.12284,0.013056,0.11231
1,3,1,5,-4.854e-05,0.12284,0.010347,0.10865
1,3,1,6,-4.7705e-18,0.12284,0.013527,0.12488
1,3,1,7,-3.3467e-05,0.12284,0.017393,0.12408
1,3,1,8,-5.7109e-05,0.12284,0.010227,0.11798
1,3,1,9,-5.7109e-05,0.12284,0.0137,0.10984
1,3,1,10,-4.7705e-18,0.12284,0.00016593,0.11149
1,3,1,11,-4.7705e-18,0.12284,0.024099,0.11065
1,3,1,12,-4.7705e-18,0.12284,0.015939,0.10595
1,3,1,13,-4.854e-05,0.12284,0.0068066,0.11614
1,3,1,14,-3.3467e-05,0.12284,0.015343,0.12254
1,3,1,15,-4.7705e-18,0.12284,0.010233,0.11702
1,3,1,16,-4.7705e-18,0.12284,0.014862,0.10816
1,3,1,17,-4.854e-05,0.12284,0.0038871,0.098004
1,3,1,18,-3.3467e-05,0.12284,0.0014907,0.10113
1,3,1,19,-3.3467e-05,0.12284,0.0049007,0.10407
1,3,1,20,-5.7109e-05,0.12284,-0.00020159,0.099035
1,3,2,1,-3.8077e-05,0.19783,0.023789,0.19627
1,3,2,2,-3.8077e-05,0.19783,0.018697,0.19936
1,3,2,3,-3.8077e-05,0.19783,0.029239,0.17959
1,3,2,4,-3.8077e-05,0.19783,0.023592,0.18549
1,3,2,5,-8.6736e-18,0.19783,0.021142,0.19395
1,3,2,6,5.39e-05,0.19783,0.02265,0.19782
1,3,2,7,-2.4276e-05,0.19783,0.0065316,0.20008
1,3,2,8,-2.4276e-05,0.19783,0.010531,0.2174
1,3,2,9,-8.6736e-18,0.19783,0.018941,0.20082
1,3,2,10,-8.6736e-18,0.19783,0.019392,0.17991
1,3,2,11,-8.6736e-18,0.19783,0.021873,0.19568
1,3,2,12,-8.6736e-18,0.19783,0.0091464,0.20708
1,3,2,13,-2.4276e-05,0.19783,0.017828,0.20637
1,3,2,14,5.39e-05,0.19783,0.016511,0.18855
1,3,2,15,-3.8077e-05,0.19783,0.0051734,0.18749
1,3,2,16,-2.4276e-05,0.19783,0.0052994,0.19967
1,3,2,17,-2.4276e-05,0.19783,0.014637,0.19363
1,3,2,18,-2.4276e-05,0.19783,0.013987,0.1795
1,3,2,19,5.39e-05,0.19783,0.015141,0.19757
1,3,2,20,-3.8077e-05,0.19783,0.0017539,0.18378
1,3,3,1,-1.9033e-05,0.27283,0.010032,0.27123
1,3,3,2,3.3479e-05,0.27283,0.017613,0.26553
1,3,3,3,3.3479e-05,0.27283,0.021494,0.26122
1,3,3,4,3.3479e-05,0.27283,0.015533,0.26985
1,3,3,5,-1.9033e-05,0.27283,0.00025992,0.26406
1,3,3,6,-7.3726e-18,0.27283,0.0052107,0.26324
1,3,3,7,-7.3726e-18,0.27283,0.0093696,0.28712
1,3,3,8,-7.3726e-18,0.27283,0.0049913,0.2797
1,3,3,9,0.00010781,0.27283,0.018184,0.29183
1,3,3,10,0.00010781,0.27283,0.008671,0.27068
1,3,3,11,-7.3726e-18,0.27283,0.0096703,0.26319
1,3,3,12,-1.9033e-05,0.27283,0.024631,0.2768
1,3,3,13,-1.9033e-05,0.27283,0.014711,0.2667
1,3,3,14,-1.9033e-05,0.27283,0.0089119,0.25849
1,3,3,15,0.00010781,0.27283,0.012188,0.26304
1,3,3,16,3.3479e-05,0.27283,0.0028393,0.27188
1,3,3,17,3.3479e-05,0.27283,-0.0092181,0.26487
1,3,3,18,3.3479e-05,0.27283,0.0073145,0.27555
1,3,3,19,-7.3726e-18,0.27283,0.0099646,0.25164
1,3,3,20,3.3479e-05,0.27283,-0.00090338,0.26454
1,3,4,1,-4.0766e-17,0.34783,-0.0077791,0.33533
1,3,4,2,-4.0766e-17,0.34783,-0.0092167,0.34982
1,3,4,3,0.00016171,0.34783,0.016859,0.34594
1,3,4,4,-4.0766e-17,0.34783,0.0097387,0.33859
1,3,4,5,-4.0766e-17,0.34783,0.0058182,0.33747
1,3,4,6,0.00016171,0.34783,0.0028961,0.35414
1,3,4,7,0.00016171,0.34783,0.013602,0.35124
1,3,4,8,0.00016171,0.34783,0.0085971,0.34544
1,3,4,9,2.4264e-05,0.34783,0.02257,0.34022
1,3,4,10,6.6946e-05,0.34783,0.016422,0.34002
1,3,4,11,6.6946e-05,0.34783,-0.01099,0.34298
1,3,4,12,6.6946e-05,0.34783,0.019338,0.34555
1,3,4,13,6.6946e-05,0.34783,0.011733,0.34646
1,3,4,14,-4.0766e-17,0.34783,0.022626,0.33355
1,3,4,15,2.4264e-05,0.34783,0.0051649,0.34997
1,3,4,16,2.4264e-05,0.34783,-0.0058937,0.34051
1,3,4,17,0.00016171,0.34783,-0.00012979,0.33063
1,3,4,18,0.00016171,0.34783,-0.0050637,0.33211
1,3,4,19,0.00016171,0.34783,0.014239,0.33956
1,3,4,20,-4.0766e-17,0.34783,0.0095555,0.33585
1,3,5,1,0.092307,0.25654,0.13668,0.25949
1,3,5,2,0.092356,0.25652,0.14867,0.23187
1,3,5,3,0.092356,0.25652,0.13476,0.21958
1,3,5,4,0.092325,0.25653,0.15619,0.25897
1,3,5,5,0.092325,0.25653,0.13908,0.24798
1,3,5,6,0.092325,0.25653,0.13485,0.25203
1,3,5,7,0.092325,0.25653,0.13647,0.23668
1,3,5,8,0.092325,0.25653,0.12653,0.24537
1,3,5,9,0.092356,0.25652,0.14699,0.23427
1,3,5,10,0.092307,0.25654,0.1198,0.24165
1,3,5,11,0.092426,0.2565,0.1303,0.22719
1,3,5,12,0.092426,0.2565,0.13003,0.20684
1,3,5,13,0.092426,0.2565,0.15228,0.22758
1,3,5,14,0.092325,0.25653,0.1423,0.24314
1,3,5,15,0.092325,0.25653,0.1412,0.23976
1,3,5,16,0.092307,0.25654,0.1302,0.23896
1,3,5,17,0.092426,0.2565,0.12849,0.2435
1,3,5,18,0.092356,0.25652,0.1257,0.23912
1,3,5,19,0.092426,0.2565,0.13927,0.24483
1,3,5,20,0.092356,0.25652,0.1269,0.2348
1,3,6,1,0.17349,0.20965,0.19121,0.19092
1,3,6,2,0.17349,0.20965,0.20515,0.18922
1,3,6,3,0.1735,0.20964,0.19339,0.17754
1,3,6,4,0.1735,0.20964,0.20276,0.18163
1,3,6,5,0.1735,0.20964,0.20931,0.17989
1,3,6,6,0.17349,0.20965,0.22376,0.17857
1,3,6,7,0.17349,0.20965,0.21102,0.18773
1,3,6,8,0.17349,0.20965,0.216,0.17173
1,3,6,9,0.17349,0.20965,0.20952,0.20238
1,3,6,10,0.17353,0.20962,0.21336,0.18608
1,3,6,11,0.17359,0.20957,0.20492,0.18939
1,3,6,12,0.1735,0.20964,0.20151,0.20049
1,3,6,13,0.1735,0.20964,0.2211,0.20107
1,3,6,14,0.17349,0.20965,0.19664,0.18444
1,3,6,15,0.17353,0.20962,0.22724,0.17726
1,3,6,16,0.17359,0.20957,0.22778,0.17243
1,3,6,17,0.17359,0.20957,0.2243,0.19786
1,3,6,18,0.17359,0.20957,0.20878,0.17615
1,3,6,19,0.1735,0.20964,0.21002,0.18332
1,3,6,20,0.17349,0.20965,0.21733,0.18031
1,3,7,1,0.23373,0.13781,0.23578,0.11163
1,3,7,2,0.23376,0.13777,0.25003,0.10065
1,3,7,3,0.2338,0.1377,0.27008,0.088168
1,3,7,4,0.2338,0.1377,0.25247,0.11658
1,3,7,5,0.23374,0.1378,0.25539,0.12013
1,3,7,6,0.23374,0.1378,0.2574,0.11014
1,3,7,7,0.23374,0.1378,0.27204,0.10433
1,3,7,8,0.23374,0.1378,0.25873,0.12338
1,3,7,9,0.23376,0.13777,0.26555,0.11693
1,3,7,10,0.23373,0.13781,0.26039,0.10503
1,3,7,11,0.23373,0.13781,0.2705,0.095771
1,3,7,12,0.2338,0.1377,0.24865,0.10878
1,3,7,13,0.2338,0.1377,0.25738,0.092487
1,3,7,14,0.2338,0.1377,0.25691,0.098891
1,3,7,15,0.23374,0.1378,0.24457,0.096905
1,3,7,16,0.2338,0.1377,0.25864,0.09491
1,3,7,17,0.2338,0.1377,0.26004,0.10859
1,3,7,18,0.23373,0.13781,0.275,0.098845
1,3,7,19,0.23376,0.13777,0.2586,0.10698
1,3,7,20,0.23376,0.13777,0.25435,0.099548
2,1,1,1,1.0211e-05,0.12277,-0.030273,0.12682
2,1,1,2,1.0211e-05,0.12277,-0.023352,0.15335
2,1,1,3,1.0211e-05,0.12277,-0.031244,0.12929
2,1,1,4,8.5613e-06,0.12277,-0.011607,0.13748
2,1,1,5,8.5613e-06,0.12277,-0.028076,0.1847
2,1,1,6,1.3878e-17,0.12277,-0.0051181,0.16747
2,1,1,7,5.6601e-06,0.12277,-0.015831,0.15253
2,1,1,8,5.6601e-06,0.12277,-0.021957,0.17316
2,1,1,9,5.6601e-06,0.12277,-0.016574,0.13251
2,1,1,10,8.5613e-06,0.12277,-0.010581,0.1559
2,1,1,11,8.5613e-06,0.12277,-0.002916,0.16875
2,1,1,12,8.5613e-06,0.12277,-0.010865,0.12692
2,1,1,13,1.0211e-05,0.12277,-0.0060775,0.15488
2,1,1,14,1.3878e-17,0.12277,-0.0081142,0.15346
2,1,1,15,1.0211e-05,0.12277,-0.01288,0.14469
2,1,1,16,1.0211e-05,0.12277,-0.009037,0.17104
2,1,1,17,5.6601e-06,0.12277,0.00013919,0.17411
2,1,1,18,8.5613e-06,0.12277,-0.022218,0.14429
2,1,1,19,8.5613e-06,0.12277,-0.0092193,0.16031
2,1,1,20,8.5613e-06,0.12277,-0.019637,0.16533
2,1,2,1,-9.1179e-06,0.19777,-0.04147,0.2631
2,1,2,2,-9.1179e-06,0.19777,-0.041699,0.24944
2,1,2,3,7.3312e-06,0.19777,-0.025056,0.24942
2,1,2,4,-9.1179e-06,0.19777,-0.033729,0.2648
2,1,2,5,-9.1179e-06,0.19777,-0.033504,0.26509
2,1,2,6,4.6735e-06,0.19777,-0.0098108,0.2519
2,1,2,7,-6.9389e-17,0.19777,-0.015175,0.26065
2,1,2,8,-6.9389e-17,0.19777,-0.027518,0.25466
2,1,2,9,-6.9389e-17,0.19777,-0.0061716,0.25721
2,1,2,10,-9.1179e-06,0.19777,-0.014324,0.26121
2,1,2,11,-9.1179e-06,0.19777,-0.0043221,0.23886
2,1,2,12,-9.1179e-06,0.19777,-0.018269,0.25128
